,Text,Predicted_label,Gold_label
0,"We could get a good debate going about this, don't you think? Intemperate tots.",sad,ang
1,What would I do with a fortune?,hap,hap
2,You've always had a weak head.,hap,ang
3,"We've got friends, that's why we moved here, huh? Because there is a day care down the street.",sad,sad
4,Is that a demand sir?,sad,neu
5,Well what's bugging you?,sad,ang
6,I'm sorry.,ang,sad
7,"Yeah, that you probably. You should see one of these Victorian houses around by.",sad,hap
8,"And, like, there's there's shuttles or something that I can get to the hotel.",sad,neu
9,I'm sorry to hear about that.,ang,neu
10,Well so what did you think?,sad,hap
11,Yours. I don't--,hap,neu
12,yeah.,ang,hap
13,Well then I guess it's over then. But from her letters I think she's forgotten him.,sad,neu
14,What have I got to hide?,hap,ang
15,it is going to be so much fun. Yes.,ang,hap
16,But uh- I don't see it here in the airport yet. uh,sad,neu
17,The business? The business doesn't inspire me.,hap,ang
18,You kind of have a short fuse.,ang,neu
19,Wow.,ang,neu
20,What?,ang,hap
21,"Nobody in my house better ever dare-dare to challenge her faith. Maybe strangers, but not his father, not his brother.",hap,ang
22,"Oh, my God, thank you so much.",ang,hap
23,All right.,ang,sad
24,I ignore what I got to ignore. The girl is Larry's girl.,sad,ang
25,Would you be willing to make some more calls on my behalf? I won't--I won't make you look bad.,hap,sad
26,What? There- There's hundreds of thousands of dollars worth of stuff in there.,sad,ang
27,"There are people downstairs, I suppose",hap,ang
28,"Carla, can I ask you a question? Now don't be upset, are you having a period?",sad,neu
29,I do believe that I have said already that I had three minuet liquor glasses of brandy in the entire evening. A child of two couldn't get drunk of that.,hap,ang
30,"I just -- I just don't get it, like there is just nothing you can do about it you know, it's like just out of your control and it",sad,sad
31,"Well what do you want me to do? I mean, you're old enough to know your own mind.",hap,ang
32,"I don't know you, do I?",hap,neu
33,"attached to it and you don't send it to me, I'm going to get very upset.",hap,ang
34,Oh. I hadn't even thought about that.,ang,hap
35,"Wow. You know I was thinking about changing internet providers, but but that- that really is enough to change my mind.",sad,hap
36,I mean I'm gonna take a bunch of stuff and see.,ang,hap
37,She's been in New York three and half years why all of a sudden-,hap,ang
38,Stop. I hate you. Do you hear me? You're conceited and overbearing and utterly impossible.,sad,ang
39,"No, thank you.",ang,neu
40,It's not the same though.,sad,sad
41,No.,ang,sad
42,"Not sorry, no. I can't stay here.",sad,sad
43,You want my jacket?,hap,neu
44,Uh! I'm so happy that you're not going to go away.,sad,hap
45,"I actually need two forms of ID. I need either a passport or a birth certificate, or social security card. I'm sorry.",hap,neu
46,"I'm embarrassing you. I didn't want to tell you it here. I wanted to go somewhere that would be brand-new to each other. It feels wrong here, don't you? This yard and this chair.",hap,hap
47,You're just going to leave the business? You have a business here. You can't do that.,hap,ang
48,Yeah.,ang,neu
49,I will never forget the look on his face.,hap,hap
50,Probably.,ang,ang
51,That's awesome.,ang,hap
52,Yes.,ang,hap
53,"No, I mean it just came on really quick, you know I mean it was a [GARBAGE] it was a sickness but it just --",sad,sad
54,Well so now we're married. We have cat children.,sad,hap
55,Oh. Yes I am.,ang,ang
56,Hello. This is Viacom Services. How can I help you?,ang,neu
57,"There's people that have given more though, you know?",hap,sad
58,"Not- Not selling pot, right?",hap,neu
59,"but, it's gonna be fine. I'm gonna be fine. You know I'm good at this. I can do this. That's why I trained all this time. I'm good at this. Okay?",sad,sad
60,You did?,ang,neu
61,Okay. So--,ang,neu
62,Turn it off.,ang,ang
63,"And, uh, it's just really exciting. I- You know, I'm -- just I want to- I want to share this special happy moment with you. It's awesome",sad,hap
64,We'll behave exquisitely.,ang,hap
65,"No, you don't. I'm a pretty tough guy.",hap,ang
66,Would you like to be kicked out of the D.M.V.? You don't think that'll be a little embarrassing?,ang,ang
67,"Oh, be quiet.",ang,ang
68,"No, I know. But still. I know I don't make you happy.",hap,sad
69,"Yeah, I could hear him crying through the floorboards in my room.",sad,sad
70,"Yes. We did that in the beginning, exactly. So we had, so we just had, you know, good times the rest of the weekend, yeah.",sad,hap
71,"Well, I don't know. I've got to go look for a place.",sad,hap
72,How do you know why she's waited? Hmmm?,ang,neu
73,I guess I'll- I guess I'll have an internet husband.[LAUGHTER],sad,hap
74,"No, no.",ang,neu
75,"What, can you prove it? What proof do you have? Can you prove it?",hap,ang
76,What about me?,ang,ang
77,"Where am I supposed to go? I mean, like what?",ang,sad
78,Yeah.,ang,neu
79,"he asked me to marry him, like- onstage. I was like, I couldn't believe--and I had to walk up there and I was, like I think I tripped or something.",sad,hap
80,Yay...School's fun.,sad,hap
81,"Yeah, I would love to. Thanks. [LAUGHTER]",ang,hap
82,You have to tell me.,hap,sad
83,"I mean, I feel like my whole life is gonna be spent standing on the beach with my eyes wide open and my hands clasped expectantly waiting for the fish to show up. And the fish won't show up.",sad,ang
84,"So we'll send it- And we'll give you, how about a free year's service?",hap,neu
85,"Oh Charles, that was his name Charles. It did wiggle so beautifully.",sad,hap
86,"Uh-, So I got some good news.",sad,hap
87,putting your best foot forward? or you,hap,neu
88,Uh-huh.,ang,neu
89,"And we will probably send you a calling card. I'm very sorry. You're just going to have to be patient, sir.",hap,neu
90,Turn it off. It's driving me mad.,ang,ang
91,We just have different ideas of what this evening is supposed to look like.,sad,ang
92,"Throw in a little- little, uh, trim in yellow. Maybe some yellow flowers.",hap,hap
93,get my new license.,hap,neu
94,"we've mistakenly lost your baggage. We're very sorry. On behalf of Jet Blue I would like to apologize for any inconvenience. I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us. I'm very sorry, once again...",hap,neu
95,"I'll miss you, baby.",hap,sad
96,We thought I was pregnant and we had a bottle of champagne but no glasses. You asked me to dance. So we took off our shoes,sad,sad
97,"Yes, I know. I know-. It's It's frustrating. Unfortunately though-- um",hap,neu
